Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2018,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,8.5
2020,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,8.3
2016,,16 years and over,,,,,Ayala/Aiara,PT,Ayala/Aiara,11.3
2010,,16 years and over,,,,,Azkoitia,PT,Azkoitia,8.7
2016,,16 years and over,,,,,Azkoitia,PT,Azkoitia,13.8
2018,,16 years and over,,,,,Azkoitia,PT,Azkoitia,10.4
2019,,16 years and over,,,,,Azkoitia,PT,Azkoitia,8.7
2021,,16 years and over,,,,,Azkoitia,PT,Azkoitia,8.9
2015,,16 years and over,,,,,Azkoitia,PT,Azkoitia,14.9
2020,,16 years and over,,,,,Azkoitia,PT,Azkoitia,8.6
2021,,16 years and over,,,,,Azpeitia,PT,Azpeitia,8.1
2016,,16 years and over,,,,,Azpeitia,PT,Azpeitia,13.2
2015,,16 years and over,,,,,Azpeitia,PT,Azpeitia,15.4
2020,,16 years and over,,,,,Azpeitia,PT,Azpeitia,7.5
2019,,16 years and over,,,,,Azpeitia,PT,Azpeitia,7.6
2010,,16 years and over,,,,,Azpeitia,PT,Azpeitia,8.3
2018,,16 years and over,,,,,Azpeitia,PT,Azpeitia,8.0
2019,,16 years and over,,,,,Bakio,PT,Bakio,9.9
2018,,16 years and over,,,,,Bakio,PT,Bakio,11.8
2021,,16 years and over,,,,,Bakio,PT,Bakio,10.4
2016,,16 years and over,,,,,Bakio,PT,Bakio,15.1
2015,,16 years and over,,,,,Bakio,PT,Bakio,14.8
2010,,16 years and over,,,,,Bakio,PT,Bakio,8.0
2020,,16 years and over,,,,,Bakio,PT,Bakio,10.1
2020,,16 years and over,,,,,Baliarrain,PT,Baliarrain,5.3
2018,,16 years and over,,,,,Baliarrain,PT,Baliarrain,5.4
2016,,16 years and over,,,,,Baliarrain,PT,Baliarrain,8.2
2010,,16 years and over,,,,,Baliarrain,PT,Baliarrain,4.8
2015,,16 years and over,,,,,Baliarrain,PT,Baliarrain,9.0
2019,,16 years and over,,,,,Baliarrain,PT,Baliarrain,2.8
2021,,16 years and over,,,,,Baliarrain,PT,Baliarrain,6.8
2015,,16 years and over,,,,,Balmaseda,PT,Balmaseda,21.5
2020,,16 years and over,,,,,Balmaseda,PT,Balmaseda,14.6
2019,,16 years and over,,,,,Balmaseda,PT,Balmaseda,16.3
2016,,16 years and over,,,,,Balmaseda,PT,Balmaseda,21.3
2018,,16 years and over,,,,,Balmaseda,PT,Balmaseda,17.0
2010,,16 years and over,,,,,Balmaseda,PT,Balmaseda,11.0
2021,,16 years and over,,,,,Balmaseda,PT,Balmaseda,15.7
2018,,16 years and over,,,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,7.4
2021,,16 years and over,,,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,10.4
2010,,16 years and over,,,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,5.4
2020,,16 years and over,,,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,6.1
2019,,16 years and over,,,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,6.0
